NAME	0	1	2	3	4	5	6	7	TOT
noST1	163.88	0	0	0	0.45	0.46	0	0	164.78
trST1	183.32	0	0	0	1.55	0.01	0	0	184.88
reST1	108.69	0	0	0	0.44	0.42	0	0	109.56
rpST1	123.12	0	0	0	7.19	7.53	0	0	137.84
rtST1	127.03	0	0	0	1.00	0.03	0	0	128.06
rt251	128.17	0	0	0	0.67	0	0	0	128.84
bt251	183.32	0	0	0	1.54	0.01	0	0	184.88
bgST1	164.99	0	0	0	0.24	0.26	0	0	165.49
rgST1	106.94	0	0	0	0.92	0.92	0	0	108.78
cprST1	124.61	0	0	0	6.54	6.56	0	0	137.71
btST1	184.57	0	0	0	0.29	0.01	0	0	184.87
rtST1	127.23	0	0	0	1.29	0.01	0	0	128.53
